Date,Cloud Agent ID,Automation ID,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Requests
"2026-05-13T09:33:42.386Z","","","Included","claude-opus-4-7-thinking-max","No","791490","499887","19954940","232369","21478686","1"
"2026-05-13T09:07:04.372Z","","","Included","claude-opus-4-7-thinking-max","No","188908","116397","3985676","63127","4354108","1"
"2026-05-13T07:35:20.459Z","","","Included","claude-opus-4-7-thinking-max","No","383324","102471","11142375","54169","11682339","1"
"2026-05-13T06:14:46.826Z","","","Included","claude-opus-4-7-thinking-max","No","219245","7","218528","832","438612","1"
"2026-05-13T06:03:58.539Z","","","Included","claude-opus-4-7-thinking-max","No","217002","1","0","1304","218307","1"
"2026-05-13T05:37:20.355Z","","","Included","claude-opus-4-7-thinking-max","No","50480","31","5667713","31633","5749857","1"
"2026-05-13T05:34:00.768Z","","","Included","claude-opus-4-7-thinking-max","No","162190","21","2358571","9819","2530601","1"
"2026-05-13T03:48:38.109Z","","","Included","claude-opus-4-7-thinking-max","No","641667","292069","43445788","220334","44599858","1"
"2026-05-13T03:41:39.186Z","","","Included","claude-opus-4-7-thinking-max","No","6220","6","1112018","5618","1123862","1"
"2026-05-13T02:50:48.133Z","","","Included","claude-opus-4-7-thinking-max","No","917963","254290","44230379","185411","45588043","1"
"2026-05-13T02:14:20.078Z","","","Included","claude-opus-4-7-thinking-max","No","624794","132576","12637416","88403","13483189","1"
"2026-05-13T02:03:11.612Z","","","Included","claude-opus-4-7-thinking-max","No","4108","2","451704","1187","457001","1"
"2026-05-13T01:45:27.420Z","","","Included","claude-opus-4-7-thinking-max","No","139148","22","3334913","84483","3558566","1"
"2026-05-13T01:42:25.617Z","","","Errored, No Charge","claude-opus-4-7-thinking-max","No","74113","14","425122","2098","501347","-"
"2026-05-12T15:31:07.704Z","","","Included","claude-opus-4-7-thinking-max","No","59803","14954","3769248","30148","3874153","1"
"2026-05-12T14:55:25.886Z","","","Included","claude-opus-4-7-thinking-max","No","642646","177896","11316097","175517","12312156","1"
"2026-05-12T10:04:05.440Z","","","Included","claude-opus-4-7-thinking-max","No","1217","7","406591","515","408330","1"
"2026-05-12T09:15:15.045Z","","","Included","claude-opus-4-7-thinking-max","No","460456","149539","32573601","108704","33292300","1"
"2026-05-12T08:14:43.344Z","","","Included","claude-opus-4-7-thinking-max","No","626925","144681","22183361","124525","23079492","1"
"2026-05-12T07:18:06.618Z","","","Included","claude-opus-4-7-thinking-max","No","422338","162170","30300435","165440","31050383","1"
"2026-05-12T06:54:59.331Z","","","Included","claude-opus-4-7-thinking-max","No","525811","127240","4511657","33854","5198562","1"
"2026-05-12T06:42:04.874Z","","","Included","claude-opus-4-7-thinking-max","No","","","","","","Free"
"2026-05-12T06:16:55.498Z","","","Included","claude-opus-4-7-thinking-max","No","492652","25","4345615","13479","4851771","1"
"2026-05-12T03:11:40.273Z","","","Included","claude-opus-4-7-thinking-max","No","991231","150237","26028347","139617","27309432","1"
"2026-05-12T02:52:58.828Z","","","Included","claude-opus-4-7-thinking-max","No","231310","37","7583006","19370","7833723","1"
"2026-05-12T01:56:05.382Z","","","Included","claude-opus-4-7-thinking-max","No","559411","17","2400397","13179","2973004","1"
"2026-05-12T01:23:21.032Z","","","Included","claude-opus-4-7-thinking-max","No","555196","99915","19953118","82847","20691076","1"
"2026-05-11T15:45:43.290Z","","","Included","gpt-5.5-extra-high-fast","No","0","76050","487424","16051","579525","4"
"2026-05-11T15:42:01.423Z","","","Included","claude-opus-4-7-thinking-xhigh","No","37887","8","63298","1070","102263","1"
"2026-05-11T03:56:31.740Z","","","Included","claude-opus-4-7-thinking-max","No","436690","85617","21316393","99197","21937897","1"
"2026-05-11T03:38:06.600Z","","","Included","claude-opus-4-7-thinking-max","No","281312","23","1450889","32837","1765061","1"
"2026-05-11T02:30:51.614Z","","","Included","claude-opus-4-7-thinking-max","No","1189435","306814","55646618","278674","57421541","1"
"2026-05-11T02:28:39.164Z","","","Errored, No Charge","claude-opus-4-7-thinking-max","No","","","","","","Free"
"2026-05-11T02:26:28.510Z","","","Errored, No Charge","claude-opus-4-7-thinking-max","No","","","","","","Free"
"2026-05-11T02:24:18.250Z","","","Errored, No Charge","claude-opus-4-7-thinking-max","No","","","","","","Free"
"2026-05-11T02:21:38.222Z","","","Errored, No Charge","claude-opus-4-7-thinking-max","No","167","1","181601","150","181919","-"
"2026-05-11T02:19:23.323Z","","","Errored, No Charge","claude-opus-4-7-thinking-max","No","","","","","","Free"
"2026-05-11T02:17:16.009Z","","","Errored, No Charge","claude-opus-4-7-thinking-max","No","","","","","","Free"
"2026-05-11T02:14:42.342Z","","","Errored, No Charge","claude-opus-4-7-thinking-max","No","","","","","","Free"
"2026-05-11T02:12:21.657Z","","","Errored, No Charge","claude-opus-4-7-thinking-max","No","","","","","","Free"
"2026-05-11T02:10:02.609Z","","","Errored, No Charge","claude-opus-4-7-thinking-max","No","","","","","","Free"
"2026-05-11T01:43:47.978Z","","","Errored, No Charge","claude-opus-4-7-thinking-max","No","163123","45","4794041","67699","5024908","-"
"2026-05-10T12:27:00.553Z","","","Included","claude-opus-4-7-thinking-max","No","206505","1","14122","552","221180","1"
"2026-05-10T11:19:29.695Z","","","Included","claude-opus-4-7-thinking-max","No","402284","104548","14998968","117231","15623031","1"
"2026-05-10T11:17:38.320Z","","","Included","claude-opus-4-7-thinking-max","No","3816","8","606401","2173","612398","1"
"2026-05-10T11:17:15.747Z","","","Included","claude-opus-4-7-thinking-max","No","186583","1","14122","824","201530","1"
"2026-05-10T09:14:36.602Z","","","Included","claude-opus-4-7-thinking-max","No","996612","154189","29198504","202891","30552196","1"
"2026-05-10T08:37:25.205Z","","","Included","claude-opus-4-7-thinking-max","No","217989","12","2331365","9226","2558592","1"
"2026-05-10T07:10:57.716Z","","","Included","claude-opus-4-7-thinking-max","No","786933","47","7325751","43370","8156101","1"
"2026-05-10T06:54:01.137Z","","","Included","claude-opus-4-7-thinking-max","No","20018","8","934057","5785","959868","1"
"2026-05-10T04:36:44.687Z","","","Included","claude-opus-4-7-thinking-max","No","1423809","319474","53041848","296869","55082000","1"
"2026-05-10T04:01:08.501Z","","","Included","claude-opus-4-7-thinking-max","No","342849","160560","5923490","27539","6454438","1"
"2026-05-10T02:17:52.090Z","","","Included","claude-opus-4-7-thinking-max","No","1682069","174906","24501610","127425","26486010","1"
"2026-05-10T01:59:11.402Z","","","Included","claude-opus-4-7-thinking-max","No","128496","46","7330707","41551","7500800","1"
"2026-05-10T00:47:03.208Z","","","Included","claude-opus-4-7-thinking-max","No","1348090","546971","28049158","165882","30110101","1"
"2026-05-09T19:29:28.910Z","","","Included","claude-opus-4-7-thinking-xhigh","No","264643","12","2789718","11510","3065883","1"
"2026-05-09T17:42:11.408Z","","","Included","claude-opus-4-7-thinking-xhigh","No","238625","15","3167908","22764","3429312","1"
"2026-05-09T16:36:41.302Z","","","Included","claude-opus-4-7-thinking-xhigh","No","181027","195468","8258725","51659","8686879","1"
"2026-05-09T16:10:27.438Z","","","Included","claude-opus-4-7-thinking-xhigh","No","292671","22","4254194","10534","4557421","1"
"2026-05-09T14:23:23.131Z","","","Included","claude-opus-4-7-thinking-xhigh","No","701294","295362","44071572","205915","45274143","1"
"2026-05-09T13:44:11.777Z","","","Included","claude-opus-4-7-thinking-xhigh","No","224590","85","13857057","81491","14163223","1"
"2026-05-09T13:33:10.580Z","","","Included","claude-opus-4-7-thinking-xhigh","No","67111","13","339792","20931","427847","1"
"2026-05-09T10:03:47.672Z","","","Included","claude-opus-4-7-thinking-max","No","54923","27","5474593","30024","5559567","1"
"2026-05-09T08:56:13.148Z","","","Included","claude-opus-4-7-thinking-max","No","677921","254892","33737465","228968","34899246","1"
"2026-05-09T07:49:26.105Z","","","Included","claude-opus-4-7-thinking-max","No","227194","40","8094495","28392","8350121","1"
"2026-05-09T06:13:58.089Z","","","Included","claude-opus-4-7-thinking-max","No","944873","302666","24833013","303112","26383664","1"
"2026-05-08T10:15:47.686Z","","","Included","claude-opus-4-7-thinking-max","No","916","6","203389","798","205109","1"
"2026-05-08T10:11:42.333Z","","","Included","claude-opus-4-7-thinking-max","No","203389","14","1590006","7151","1800560","1"
"2026-05-08T09:29:56.588Z","","","Included","claude-opus-4-7-thinking-max","No","4081","7","492336","1479","497903","1"
"2026-05-08T09:27:35.163Z","","","Included","claude-opus-4-7-thinking-max","No","3413","3","730131","2389","735936","1"
"2026-05-08T09:27:32.484Z","","","Included","claude-opus-4-7-thinking-max","No","195804","170830","10947394","78169","11392197","1"
"2026-05-08T09:09:06.164Z","","","Included","claude-opus-4-7-thinking-max","No","75155","53","10858204","39159","10972571","1"
"2026-05-08T08:55:40.022Z","","","Included","claude-opus-4-7-thinking-max","No","251009","150360","24579417","88172","25068958","1"
"2026-05-08T08:45:10.729Z","","","Included","claude-opus-4-7-thinking-max","No","247571","172087","18306210","80223","18806091","1"
"2026-05-08T08:40:29.072Z","","","Included","claude-opus-4-7-thinking-xhigh","No","388642","117346","2568005","68204","3142197","1"
"2026-05-08T08:13:33.551Z","","","Included","claude-opus-4-7-thinking-max","No","170381","44","4831703","24252","5026380","1"
"2026-05-08T08:05:02.734Z","","","Included","claude-opus-4-7-thinking-max","No","704553","59247","29734645","109667","30608112","1"
"2026-05-08T07:43:50.208Z","","","Included","claude-opus-4-7-thinking-xhigh","No","36212","15","3273950","19225","3329402","1"
"2026-05-08T07:41:19.401Z","","","Included","claude-opus-4-7-thinking-xhigh","No","7089","4","782359","3005","792457","1"
